Count  14657
Boundary 5 52725, 737607; 52725, 737942; 53324, 737942; 53324, 737607; 52725, 737607; 
Boundary 5 52992, 3210378; 52992, 3212999; 55895, 3212999; 55895, 3210378; 52992, 3210378; 
Boundary 5 53060, 4654076; 53060, 4655187; 54903, 4655187; 54903, 4654076; 53060, 4654076; 
Boundary 5 53077, 1197407; 53077, 1199164; 56541, 1199164; 56541, 1197407; 53077, 1197407; 
Boundary 5 53232, 4573579; 53232, 4576394; 55378, 4576394; 55378, 4573579; 53232, 4573579; 
Boundary 5 54732, 5711750; 54732, 5713813; 55765, 5713813; 55765, 5711750; 54732, 5711750; 
Boundary 5 55108, 2233343; 55108, 2234723; 58868, 2234723; 58868, 2233343; 55108, 2233343; 
Boundary 5 55476, 4315993; 55476, 4316156; 56539, 4316156; 56539, 4315993; 55476, 4315993; 
Boundary 5 55521, 4348799; 55521, 4352356; 56993, 4352356; 56993, 4348799; 55521, 4348799; 
Boundary 5 55696, 3432103; 55696, 3432484; 56031, 3432484; 56031, 3432103; 55696, 3432103; 
Boundary 5 55818, 3672702; 55818, 3675315; 56261, 3675315; 56261, 3672702; 55818, 3672702; 
Boundary 5 56007, 5891436; 56007, 5893820; 57330, 5893820; 57330, 5891436; 56007, 5891436; 
Boundary 5 56055, 3603465; 56055, 3605017; 58070, 3605017; 58070, 3603465; 56055, 3603465; 
Boundary 5 57724, 6238780; 57724, 6239353; 58017, 6239353; 58017, 6238780; 57724, 6238780; 
Boundary 5 58108, 4519269; 58108, 4520819; 58726, 4520819; 58726, 4519269; 58108, 4519269; 
Boundary 5 58721, 5843320; 58721, 5846220; 59338, 5846220; 59338, 5843320; 58721, 5843320; 
Boundary 5 59077, 702818; 59077, 704567; 59645, 704567; 59645, 702818; 59077, 702818; 
Boundary 5 59133, 4688355; 59133, 4690227; 59280, 4690227; 59280, 4688355; 59133, 4688355; 
Boundary 5 60537, 1518465; 60537, 1520061; 63396, 1520061; 63396, 1518465; 60537, 1518465; 
Boundary 5 61102, 4641096; 61102, 4642108; 62778, 4642108; 62778, 4641096; 61102, 4641096; 
Boundary 5 61372, 2056425; 61372, 2057645; 61949, 2057645; 61949, 2056425; 61372, 2056425; 
Boundary 5 61608, 1835847; 61608, 1837722; 64447, 1837722; 64447, 1835847; 61608, 1835847; 
Boundary 5 63073, 1638426; 63073, 1639576; 67442, 1639576; 67442, 1638426; 63073, 1638426; 
Boundary 5 63108, 2919866; 63108, 2920579; 66188, 2920579; 66188, 2919866; 63108, 2919866; 
Boundary 5 63317, 265663; 63317, 266978; 68273, 266978; 68273, 265663; 63317, 265663; 
Boundary 5 63327, 642867; 63327, 644005; 65052, 644005; 65052, 642867; 63327, 642867; 
Boundary 5 63379, 15100; 63379, 16396; 69842, 16396; 69842, 15100; 63379, 15100; 
Boundary 5 65299, 6057238; 65299, 6058221; 69384, 6058221; 69384, 6057238; 65299, 6057238; 
Boundary 5 65578, 3493662; 65578, 3494015; 69831, 3494015; 69831, 3493662; 65578, 3493662; 
Boundary 5 65623, 5066092; 65623, 5067313; 68711, 5067313; 68711, 5066092; 65623, 5066092; 
Boundary 5 65668, 4337515; 65668, 4339026; 66665, 4339026; 66665, 4337515; 65668, 4337515; 
Boundary 5 66155, 3577289; 66155, 3578210; 68373, 3578210; 68373, 3577289; 66155, 3577289; 
Boundary 5 67825, 396079; 67825, 396279; 69070, 396279; 69070, 396079; 67825, 396079; 
Boundary 5 67827, 4710554; 67827, 4712705; 71814, 4712705; 71814, 4710554; 67827, 4710554; 
Boundary 5 67877, 1229337; 67877, 1229613; 70192, 1229613; 70192, 1229337; 67877, 1229337; 
Boundary 5 68032, 504995; 68032, 511137; 68590, 511137; 68590, 504995; 68032, 504995; 
Boundary 5 68324, 2585601; 68324, 2590459; 69785, 2590459; 69785, 2585601; 68324, 2585601; 
Boundary 5 68532, 1453283; 68532, 1454516; 70892, 1454516; 70892, 1453283; 68532, 1453283; 
Boundary 5 68554, 2267002; 68554, 2271612; 69968, 2271612; 69968, 2267002; 68554, 2267002; 
Boundary 5 68568, 1758432; 68568, 1758663; 72807, 1758663; 72807, 1758432; 68568, 1758432; 
Boundary 5 68671, 4668571; 68671, 4670199; 70783, 4670199; 70783, 4668571; 68671, 4668571; 
Boundary 5 68745, 1298666; 68745, 1298797; 68841, 1298797; 68841, 1298666; 68745, 1298666; 
Boundary 5 68779, 2117359; 68779, 2117727; 68945, 2117727; 68945, 2117359; 68779, 2117359; 
Boundary 5 69353, 2360216; 69353, 2360551; 74322, 2360551; 74322, 2360216; 69353, 2360216; 
Boundary 5 69680, 5595352; 69680, 5597490; 72378, 5597490; 72378, 5595352; 69680, 5595352; 
Boundary 5 70003, 3455757; 70003, 3456966; 73358, 3456966; 73358, 3455757; 70003, 3455757; 
Boundary 5 70104, 3260165; 70104, 3261012; 73041, 3261012; 73041, 3260165; 70104, 3260165; 
Boundary 5 70116, 1875599; 70116, 1875646; 71176, 1875646; 71176, 1875599; 70116, 1875599; 
Boundary 5 70197, 3280639; 70197, 3280684; 73421, 3280684; 73421, 3280639; 70197, 3280639; 
Boundary 5 70630, 6074469; 70630, 6077700; 72961, 6077700; 72961, 6074469; 70630, 6074469; 
Boundary 5 70749, 613140; 70749, 613839; 73315, 613839; 73315, 613140; 70749, 613140; 
Boundary 5 71122, 2098662; 71122, 2098869; 76160, 2098869; 76160, 2098662; 71122, 2098662; 
Boundary 5 71346, 1434353; 71346, 1434658; 72891, 1434658; 72891, 1434353; 71346, 1434353; 
Boundary 5 71613, 5721382; 71613, 5721715; 74753, 5721715; 74753, 5721382; 71613, 5721382; 
Boundary 5 72055, 1915840; 72055, 1917780; 75259, 1917780; 75259, 1915840; 72055, 1915840; 
Boundary 5 72853, 155775; 72853, 156218; 76783, 156218; 76783, 155775; 72853, 155775; 
Boundary 5 73057, 4800849; 73057, 4801845; 77910, 4801845; 77910, 4800849; 73057, 4800849; 
Boundary 5 73518, 4766848; 73518, 4767820; 75031, 4767820; 75031, 4766848; 73518, 4766848; 
Boundary 5 73598, 5693409; 73598, 5693776; 75914, 5693776; 75914, 5693409; 73598, 5693409; 
Boundary 5 74662, 1052227; 74662, 1054195; 76561, 1054195; 76561, 1052227; 74662, 1052227; 
Boundary 5 75242, 2133253; 75242, 2135881; 76164, 2135881; 76164, 2133253; 75242, 2133253; 
Boundary 5 75314, 5265870; 75314, 5268921; 76351, 5268921; 76351, 5265870; 75314, 5265870; 
Boundary 5 75881, 5143118; 75881, 5148128; 78062, 5148128; 78062, 5143118; 75881, 5143118; 
Boundary 5 75920, 4893372; 75920, 4894267; 76585, 4894267; 76585, 4893372; 75920, 4893372; 
Boundary 5 75920, 5012250; 75920, 5014089; 78989, 5014089; 78989, 5012250; 75920, 5012250; 
Boundary 5 76386, 1769559; 76386, 1772733; 77308, 1772733; 77308, 1769559; 76386, 1769559; 
Boundary 5 76514, 175557; 76514, 175702; 76563, 175702; 76563, 175557; 76514, 175557; 
Boundary 5 76570, 792425; 76570, 792541; 76791, 792541; 76791, 792425; 76570, 792425; 
Boundary 5 76836, 547209; 76836, 553612; 77529, 553612; 77529, 547209; 76836, 547209; 
Boundary 5 77493, 2743407; 77493, 2743831; 78603, 2743831; 78603, 2743407; 77493, 2743407; 
Boundary 5 77520, 3431262; 77520, 3432044; 78189, 3432044; 78189, 3431262; 77520, 3431262; 
Boundary 5 77576, 5045595; 77576, 5049360; 77821, 5049360; 77821, 5045595; 77576, 5045595; 
Boundary 5 77761, 1475836; 77761, 1477556; 78851, 1477556; 78851, 1475836; 77761, 1475836; 
Boundary 5 77802, 730462; 77802, 732995; 78759, 732995; 78759, 730462; 77802, 730462; 
Boundary 5 78310, 678137; 78310, 678246; 78935, 678246; 78935, 678137; 78310, 678137; 
Boundary 5 79355, 1668008; 79355, 1668352; 79933, 1668352; 79933, 1668008; 79355, 1668008; 
Boundary 5 83126, 5729842; 83126, 5732178; 85791, 5732178; 85791, 5729842; 83126, 5729842; 
Boundary 5 83335, 2092416; 83335, 2093811; 86266, 2093811; 86266, 2092416; 83335, 2092416; 
Boundary 5 83380, 2016375; 83380, 2018082; 89060, 2018082; 89060, 2016375; 83380, 2016375; 
Boundary 5 84199, 967515; 84199, 973536; 86238, 973536; 86238, 967515; 84199, 967515; 
Boundary 5 85043, 1679455; 85043, 1680515; 92086, 1680515; 92086, 1679455; 85043, 1679455; 
Boundary 5 85198, 5126244; 85198, 5132577; 88347, 5132577; 88347, 5126244; 85198, 5126244; 
Boundary 5 85409, 5258700; 85409, 5259213; 89321, 5259213; 89321, 5258700; 85409, 5258700; 
Boundary 5 85670, 2814130; 85670, 2815529; 86312, 2815529; 86312, 2814130; 85670, 2814130; 
Boundary 5 86132, 370969; 86132, 371846; 91866, 371846; 91866, 370969; 86132, 370969; 
Boundary 5 87312, 3630436; 87312, 3632232; 88325, 3632232; 88325, 3630436; 87312, 3630436; 
Boundary 5 87529, 1218094; 87529, 1219792; 88646, 1219792; 88646, 1218094; 87529, 1218094; 
Boundary 5 88297, 3918947; 88297, 3919313; 89818, 3919313; 89818, 3918947; 88297, 3918947; 
Boundary 5 88824, 4858510; 88824, 4860593; 91699, 4860593; 91699, 4858510; 88824, 4858510; 
Boundary 5 88875, 514629; 88875, 515068; 89806, 515068; 89806, 514629; 88875, 514629; 
Boundary 5 89734, 2317237; 89734, 2318321; 90142, 2318321; 90142, 2317237; 89734, 2317237; 
Boundary 5 89977, 3518532; 89977, 3519424; 90459, 3519424; 90459, 3518532; 89977, 3518532; 
Boundary 5 90193, 1605202; 90193, 1610258; 94005, 1610258; 94005, 1605202; 90193, 1605202; 
Boundary 5 90258, 3209390; 90258, 3210193; 92720, 3210193; 92720, 3209390; 90258, 3209390; 
Boundary 5 90605, 789276; 90605, 790893; 95668, 790893; 95668, 789276; 90605, 789276; 
Boundary 5 90711, 2295564; 90711, 2298011; 94855, 2298011; 94855, 2295564; 90711, 2295564; 
Boundary 5 90860, 1192342; 90860, 1193423; 92593, 1193423; 92593, 1192342; 90860, 1192342; 
Boundary 5 90988, 528436; 90988, 531100; 92652, 531100; 92652, 528436; 90988, 528436; 
Boundary 5 91078, 4085034; 91078, 4085113; 93586, 4085113; 93586, 4085034; 91078, 4085034; 
Boundary 5 91694, 3233542; 91694, 3236719; 95906, 3236719; 95906, 3233542; 91694, 3233542; 
Boundary 5 91807, 1834195; 91807, 1840142; 96324, 1840142; 96324, 1834195; 91807, 1834195; 
Boundary 5 92428, 2713863; 92428, 2717415; 95596, 2717415; 95596, 2713863; 92428, 2713863; 
Boundary 5 92881, 5611193; 92881, 5617594; 93787, 5617594; 93787, 5611193; 92881, 5611193; 
Boundary 5 93206, 3590272; 93206, 3593658; 96561, 3593658; 96561, 3590272; 93206, 3590272; 
Boundary 5 93447, 1129907; 93447, 1131359; 93858, 1131359; 93858, 1129907; 93447, 1129907; 
Boundary 5 94093, 4652730; 94093, 4655057; 94944, 4655057; 94944, 4652730; 94093, 4652730; 
Boundary 5 95189, 914648; 95189, 917556; 97457, 917556; 97457, 914648; 95189, 914648; 
Boundary 5 95418, 713373; 95418, 714881; 96975, 714881; 96975, 713373; 95418, 713373; 
Boundary 5 95729, 4017966; 95729, 4019320; 95933, 4019320; 95933, 4017966; 95729, 4017966; 
Boundary 5 95948, 4751901; 95948, 4753096; 96601, 4753096; 96601, 4751901; 95948, 4751901; 
Boundary 5 96042, 2938931; 96042, 2939752; 99404, 2939752; 99404, 2938931; 96042, 2938931; 
Boundary 5 96412, 1248912; 96412, 1249963; 96691, 1249963; 96691, 1248912; 96412, 1248912; 
Boundary 5 96437, 4671287; 96437, 4671413; 96585, 4671413; 96585, 4671287; 96437, 4671287; 
Boundary 5 97187, 4274505; 97187, 4274979; 97864, 4274979; 97864, 4274505; 97187, 4274505; 
Boundary 5 97350, 3571372; 97350, 3575962; 97871, 3575962; 97871, 3571372; 97350, 3571372; 
Boundary 5 97354, 5534840; 97354, 5536099; 97439, 5536099; 97439, 5534840; 97354, 5534840; 
Boundary 5 97367, 2028975; 97367, 2033263; 97851, 2033263; 97851, 2028975; 97367, 2028975; 
Boundary 5 97478, 4215592; 97478, 4215959; 98054, 4215959; 98054, 4215592; 97478, 4215592; 
Boundary 5 98541, 616832; 98541, 617043; 99134, 617043; 99134, 616832; 98541, 616832; 
Boundary 5 98954, 652796; 98954, 657746; 99113, 657746; 99113, 652796; 98954, 652796; 
Boundary 5 101461, 3471857; 101461, 3471959; 106843, 3471959; 106843, 3471857; 101461, 3471857; 
Boundary 5 101581, 3554565; 101581, 3555334; 103017, 3555334; 103017, 3554565; 101581, 3554565; 
Boundary 5 102795, 3861182; 102795, 3861590; 103507, 3861590; 103507, 3861182; 102795, 3861182; 
Boundary 5 103716, 4519238; 103716, 4519974; 106951, 4519974; 106951, 4519238; 103716, 4519238; 
Boundary 5 104278, 2114158; 104278, 2117926; 109238, 2117926; 109238, 2114158; 104278, 2114158; 
Boundary 5 104884, 4409221; 104884, 4411559; 105071, 4411559; 105071, 4409221; 104884, 4409221; 
Boundary 5 104971, 4272231; 104971, 4273216; 105836, 4273216; 105836, 4272231; 104971, 4272231; 
Boundary 5 105415, 3638328; 105415, 3638411; 110206, 3638411; 110206, 3638328; 105415, 3638328; 
Boundary 5 105455, 3694142; 105455, 3697874; 109741, 3697874; 109741, 3694142; 105455, 3694142; 
Boundary 5 106807, 3716623; 106807, 3718290; 107330, 3718290; 107330, 3716623; 106807, 3716623; 
Boundary 5 106830, 5539843; 106830, 5540025; 108258, 5540025; 108258, 5539843; 106830, 5539843; 
Boundary 5 107158, 2652273; 107158, 2658556; 110383, 2658556; 110383, 2652273; 107158, 2652273; 
Boundary 5 107416, 2090967; 107416, 2091402; 108537, 2091402; 108537, 2090967; 107416, 2090967; 
Boundary 5 107531, 271264; 107531, 273225; 112746, 273225; 112746, 271264; 107531, 271264; 
Boundary 5 108178, 173598; 108178, 176528; 110700, 176528; 110700, 173598; 108178, 173598; 
Boundary 5 108843, 1626706; 108843, 1628703; 109792, 1628703; 109792, 1626706; 108843, 1626706; 
Boundary 5 109033, 6341597; 109033, 6343040; 109213, 6343040; 109213, 6341597; 109033, 6341597; 
Boundary 5 109132, 5299255; 109132, 5302071; 114814, 5302071; 114814, 5299255; 109132, 5299255; 
Boundary 5 109187, 1857391; 109187, 1859355; 110256, 1859355; 110256, 1857391; 109187, 1857391; 
Boundary 5 109687, 2604005; 109687, 2607824; 110317, 2607824; 110317, 2604005; 109687, 2604005; 
Boundary 5 110107, 3391700; 110107, 3393294; 111933, 3393294; 111933, 3391700; 110107, 3391700; 
